Timestamp,RelativeTS,LogicData,Width(us)
2024-04-16 11:48:38.933944+00:00,4434264,1,4
2024-04-16 11:48:38.933944+00:00,4434268,0,42025
2024-04-16 11:48:38.933944+00:00,4476293,1,71
2024-04-16 11:48:38.933944+00:00,4476364,0,105650
2024-04-16 11:48:38.933944+00:00,4582014,1,71
2024-04-16 11:48:38.933944+00:00,4582085,0,119816
2024-04-16 11:48:38.933944+00:00,4701901,1,71
2024-04-16 11:48:38.933944+00:00,4701972,0,87127
2024-04-16 11:48:38.933944+00:00,4789099,1,71
2024-04-16 11:48:38.933944+00:00,4789170,0,52821
2024-04-16 11:48:38.933944+00:00,4841991,1,4
2024-04-16 11:48:38.933944+00:00,4841995,0,42280
2024-04-16 11:48:38.933944+00:00,4884275,1,71
2024-04-16 11:48:38.933944+00:00,4884346,0,103221
2024-04-16 11:48:38.933944+00:00,4987567,1,74
2024-04-16 11:48:38.933944+00:00,4987641,0,101450
2024-04-16 11:48:38.933944+00:00,5089091,1,71
2024-04-16 11:48:38.933944+00:00,5089162,0,101584
2024-04-16 11:48:38.933944+00:00,5190746,1,71
2024-04-16 11:48:38.933944+00:00,5190817,0,60956
2024-04-16 11:48:38.933944+00:00,5251773,1,3
2024-04-16 11:48:38.933944+00:00,5251776,0,43196
2024-04-16 11:48:38.933944+00:00,5294972,1,70
2024-04-16 11:48:38.933944+00:00,5295042,0,111766
2024-04-16 11:48:38.933944+00:00,5406808,1,71
2024-04-16 11:48:38.933944+00:00,5406879,0,92355
2024-04-16 11:48:38.933944+00:00,5499234,1,71
2024-04-16 11:48:38.933944+00:00,5499305,0,102598
2024-04-16 11:48:38.933944+00:00,5601903,1,71
2024-04-16 11:48:38.933944+00:00,5601974,0,115938
2024-04-16 11:48:38.933944+00:00,5717912,1,71
2024-04-16 11:48:38.933944+00:00,5717983,0,98786
2024-04-16 11:48:38.933944+00:00,5816769,1,70
2024-04-16 11:48:38.933944+00:00,5816839,0,49705
2024-04-16 11:48:38.933944+00:00,5866544,1,4
2024-04-16 11:48:38.933944+00:00,5866548,0,51264
2024-04-16 11:48:38.933944+00:00,5917812,1,71
2024-04-16 11:48:38.933944+00:00,5917883,0,40560
2024-04-16 11:48:38.933944+00:00,5958443,1,4
2024-04-16 11:48:38.933944+00:00,5958447,0,54405
2024-04-16 11:48:38.933944+00:00,6012852,1,70
2024-04-16 11:48:38.933944+00:00,6012922,0,58800
2024-04-16 11:48:38.933944+00:00,6071722,1,3
2024-04-16 11:48:38.933944+00:00,6071725,0,41492
2024-04-16 11:48:38.933944+00:00,6113217,1,71
2024-04-16 11:48:38.933944+00:00,6113288,0,60049
2024-04-16 11:48:38.933944+00:00,6173337,1,3
2024-04-16 11:48:38.933944+00:00,6173340,0,42529
2024-04-16 11:48:38.933944+00:00,6215869,1,71
2024-04-16 11:48:38.933944+00:00,6215940,0,59687
2024-04-16 11:48:38.933944+00:00,6275627,1,4
2024-04-16 11:48:38.933944+00:00,6275631,0,45410
2024-04-16 11:48:38.933944+00:00,6321041,1,71
