Timestamp,RelativeTS,LogicData,Width_in_us
2024-03-26 13:31:18.226661+00:00,13815293,1,45627
2024-03-26 13:31:18.226661+00:00,13860920,0,855958
2024-03-26 13:31:18.226661+00:00,14716878,1,97632
2024-03-26 13:31:18.226661+00:00,14814510,0,766
2024-03-26 13:31:18.226661+00:00,14815276,1,44428
2024-03-26 13:31:18.226661+00:00,14859704,0,881156
2024-03-26 13:31:18.226661+00:00,15740860,1,68496
2024-03-26 13:31:18.226661+00:00,15809356,0,6964
2024-03-26 13:31:18.226661+00:00,15816320,1,4241
2024-03-26 13:31:18.226661+00:00,15820561,0,944251
2024-03-26 13:31:18.226661+00:00,16764812,1,51882
2024-03-26 13:31:18.226661+00:00,16816694,0,664
2024-03-26 13:31:18.226661+00:00,16817358,1,86765
2024-03-26 13:31:18.226661+00:00,16904123,0,884732
2024-03-26 13:31:18.226661+00:00,17788855,1,27698
2024-03-26 13:31:18.226661+00:00,17816553,0,636
2024-03-26 13:31:18.226661+00:00,17817189,1,2673
2024-03-26 13:31:18.226661+00:00,17819862,0,66404
2024-03-26 13:31:18.226661+00:00,17886266,1,70229
2024-03-26 13:31:18.226661+00:00,17956495,0,4464
2024-03-26 13:31:18.226661+00:00,17960959,1,95552
2024-03-26 13:31:18.226661+00:00,18056511,0,9786
2024-03-26 13:31:18.226661+00:00,18066297,1,59120
2024-03-26 13:31:18.226661+00:00,18125417,0,789836
2024-03-26 13:31:18.226661+00:00,18915253,1,39288
2024-03-26 13:31:18.226661+00:00,18954541,0,6245
2024-03-26 13:31:18.226661+00:00,18960786,1,100435
2024-03-26 13:31:18.226661+00:00,19061221,0,4412
2024-03-26 13:31:18.226661+00:00,19065633,1,40482
2024-03-26 13:31:18.226661+00:00,19106115,0,833150
2024-03-26 13:31:18.226661+00:00,19939265,1,28446
2024-03-26 13:31:18.226661+00:00,19967711,0,653
2024-03-26 13:31:18.226661+00:00,19968364,1,412
2024-03-26 13:31:18.226661+00:00,19968776,0,67870
2024-03-26 13:31:18.226661+00:00,20036646,1,22578
2024-03-26 13:31:18.226661+00:00,20059224,0,7450
2024-03-26 13:31:18.226661+00:00,20066674,1,110488
2024-03-26 13:31:18.226661+00:00,20177162,0,888715
2024-03-26 13:31:18.226661+00:00,21065877,1,95523
2024-03-26 13:31:18.226661+00:00,21161400,0,927605
2024-03-26 13:31:18.226661+00:00,22089005,1,28401
2024-03-26 13:31:18.226661+00:00,22117406,0,72215
2024-03-26 13:31:18.226661+00:00,22189621,1,21490
2024-03-26 13:31:18.226661+00:00,22211111,0,639
2024-03-26 13:31:18.226661+00:00,22211750,1,776
2024-03-26 13:31:18.226661+00:00,22212526,0,780
2024-03-26 13:31:18.226661+00:00,22213306,1,170807
2024-03-26 13:31:18.226661+00:00,22384113,0,438
2024-03-26 13:31:18.226661+00:00,22384551,1,579
2024-03-26 13:31:18.226661+00:00,22385130,0,825958
2024-03-26 13:31:18.226661+00:00,23211088,1,100825
2024-03-26 13:31:18.226661+00:00,23311913,0,3685
2024-03-26 13:31:18.226661+00:00,23315598,1,32904
2024-03-26 13:31:18.226661+00:00,23348502,0,890975
2024-03-26 13:31:18.226661+00:00,24239477,1,71235
2024-03-26 13:31:18.226661+00:00,24310712,0,5019
2024-03-26 13:31:18.226661+00:00,24315731,1,4986
2024-03-26 13:31:18.226661+00:00,24320717,0,942711
