Time [s],Channel 0
2024-04-16T11:48:41.281677825+00:00,0
2024-04-16T11:48:41.361285375+00:00,1
2024-04-16T11:48:41.361377075+00:00,0
2024-04-16T11:48:41.463950950+00:00,1
2024-04-16T11:48:41.464050950+00:00,0
2024-04-16T11:48:41.568419950+00:00,1
2024-04-16T11:48:41.568490875+00:00,0
2024-04-16T11:48:41.669542100+00:00,1
2024-04-16T11:48:41.669613175+00:00,0
2024-04-16T11:48:41.728589525+00:00,1
2024-04-16T11:48:41.728592900+00:00,0
2024-04-16T11:48:41.770536350+00:00,1
2024-04-16T11:48:41.770607100+00:00,0
2024-04-16T11:48:41.831645675+00:00,1
2024-04-16T11:48:41.831649075+00:00,0
2024-04-16T11:48:41.873980400+00:00,1
2024-04-16T11:48:41.874051200+00:00,0
2024-04-16T11:48:41.933945025+00:00,1
2024-04-16T11:48:41.933948400+00:00,0
2024-04-16T11:48:41.981932375+00:00,1
2024-04-16T11:48:41.982007100+00:00,0
2024-04-16T11:48:42.077480125+00:00,1
2024-04-16T11:48:42.077551050+00:00,0
2024-04-16T11:48:42.179351000+00:00,1
2024-04-16T11:48:42.179421825+00:00,0
2024-04-16T11:48:42.287140875+00:00,1
2024-04-16T11:48:42.287225550+00:00,0
2024-04-16T11:48:42.384491000+00:00,1
2024-04-16T11:48:42.384561775+00:00,0
2024-04-16T11:48:42.489710700+00:00,1
2024-04-16T11:48:42.489781500+00:00,0
2024-04-16T11:48:42.547129650+00:00,1
2024-04-16T11:48:42.547133025+00:00,0
2024-04-16T11:48:42.560112175+00:00,1
2024-04-16T11:48:42.560115550+00:00,0
2024-04-16T11:48:42.591483525+00:00,1
2024-04-16T11:48:42.591554350+00:00,0
2024-04-16T11:48:42.692677850+00:00,1
2024-04-16T11:48:42.692748525+00:00,0
2024-04-16T11:48:42.793502125+00:00,1
2024-04-16T11:48:42.793573100+00:00,0
2024-04-16T11:48:42.899634325+00:00,1
2024-04-16T11:48:42.899705100+00:00,0
2024-04-16T11:48:43.001185525+00:00,1
2024-04-16T11:48:43.001256200+00:00,0
2024-04-16T11:48:43.112318050+00:00,1
2024-04-16T11:48:43.112388675+00:00,0
2024-04-16T11:48:43.230713800+00:00,1
2024-04-16T11:48:43.230784600+00:00,0
2024-04-16T11:48:43.307052225+00:00,1
2024-04-16T11:48:43.307123200+00:00,0
2024-04-16T11:48:43.368208875+00:00,1
2024-04-16T11:48:43.368212250+00:00,0
2024-04-16T11:48:43.410237750+00:00,1
2024-04-16T11:48:43.410308600+00:00,0
2024-04-16T11:48:43.515958300+00:00,1
2024-04-16T11:48:43.516029250+00:00,0
2024-04-16T11:48:43.635845600+00:00,1
2024-04-16T11:48:43.635916475+00:00,0
2024-04-16T11:48:43.723043400+00:00,1
2024-04-16T11:48:43.723114125+00:00,0
2024-04-16T11:48:43.775935925+00:00,1
2024-04-16T11:48:43.775939300+00:00,0
2024-04-16T11:48:43.818219150+00:00,1
2024-04-16T11:48:43.818290200+00:00,0
2024-04-16T11:48:43.921511275+00:00,1
2024-04-16T11:48:43.921585875+00:00,0
2024-04-16T11:48:44.023035375+00:00,1
2024-04-16T11:48:44.023106200+00:00,0
2024-04-16T11:48:44.124690800+00:00,1
2024-04-16T11:48:44.124761525+00:00,0
2024-04-16T11:48:44.185717025+00:00,1
2024-04-16T11:48:44.185720400+00:00,0
2024-04-16T11:48:44.228916050+00:00,1
2024-04-16T11:48:44.228986975+00:00,0
2024-04-16T11:48:44.340752425+00:00,1
2024-04-16T11:48:44.340823275+00:00,0
2024-04-16T11:48:44.433178750+00:00,1
2024-04-16T11:48:44.433249575+00:00,0
2024-04-16T11:48:44.535847475+00:00,1
2024-04-16T11:48:44.535918150+00:00,0
2024-04-16T11:48:44.651856050+00:00,1
2024-04-16T11:48:44.651927000+00:00,0
2024-04-16T11:48:44.750713175+00:00,1
2024-04-16T11:48:44.750783725+00:00,0
2024-04-16T11:48:44.800488700+00:00,1
2024-04-16T11:48:44.800492075+00:00,0
2024-04-16T11:48:44.851756550+00:00,1
2024-04-16T11:48:44.851827425+00:00,0
2024-04-16T11:48:44.892387950+00:00,1
2024-04-16T11:48:44.892391325+00:00,0
2024-04-16T11:48:44.946796025+00:00,1
2024-04-16T11:48:44.946866825+00:00,0
2024-04-16T11:48:45.005666200+00:00,1
2024-04-16T11:48:45.005669575+00:00,0
2024-04-16T11:48:45.047161700+00:00,1
2024-04-16T11:48:45.047232525+00:00,0
2024-04-16T11:48:45.107281575+00:00,1
2024-04-16T11:48:45.107284975+00:00,0
2024-04-16T11:48:45.149813400+00:00,1
2024-04-16T11:48:45.149884075+00:00,0
2024-04-16T11:48:45.209571750+00:00,1
2024-04-16T11:48:45.209575150+00:00,0
2024-04-16T11:48:45.254985700+00:00,1
2024-04-16T11:48:45.255056575+00:00,0
2024-04-16T11:48:45.354774375+00:00,1
2024-04-16T11:48:45.354845250+00:00,0
2024-04-16T11:48:45.457693100+00:00,1
2024-04-16T11:48:45.457764050+00:00,0
2024-04-16T11:48:45.560899975+00:00,1
2024-04-16T11:48:45.560970750+00:00,0
2024-04-16T11:48:45.619584875+00:00,1
2024-04-16T11:48:45.619588250+00:00,0
2024-04-16T11:48:45.667474775+00:00,1
2024-04-16T11:48:45.667545650+00:00,0
2024-04-16T11:48:45.765038275+00:00,1
2024-04-16T11:48:45.765109100+00:00,0
2024-04-16T11:48:45.867434450+00:00,1
2024-04-16T11:48:45.867505375+00:00,0
2024-04-16T11:48:45.977941875+00:00,1
2024-04-16T11:48:45.978017350+00:00,0
2024-04-16T11:48:46.070511000+00:00,1
2024-04-16T11:48:46.070581975+00:00,0
2024-04-16T11:48:46.174897500+00:00,1
2024-04-16T11:48:46.174968425+00:00,0
2024-04-16T11:48:46.285861425+00:00,1
2024-04-16T11:48:46.285932325+00:00,0
2024-04-16T11:48:46.379242900+00:00,1
2024-04-16T11:48:46.379313625+00:00,0
2024-04-16T11:48:46.439609975+00:00,1
2024-04-16T11:48:46.439613350+00:00,0
2024-04-16T11:48:46.483334150+00:00,1
2024-04-16T11:48:46.483404950+00:00,0
2024-04-16T11:48:46.586215275+00:00,1
2024-04-16T11:48:46.586286150+00:00,0
2024-04-16T11:48:46.600234575+00:00,1
2024-04-16T11:48:46.600237950+00:00,0
2024-04-16T11:48:46.685016775+00:00,1
2024-04-16T11:48:46.685087600+00:00,0
2024-04-16T11:48:46.797689975+00:00,1
2024-04-16T11:48:46.797760650+00:00,0
2024-04-16T11:48:46.892712275+00:00,1
2024-04-16T11:48:46.892782950+00:00,0
2024-04-16T11:48:46.980259350+00:00,1
2024-04-16T11:48:46.980262725+00:00,0
2024-04-16T11:48:46.992911500+00:00,1
2024-04-16T11:48:46.992982225+00:00,0
2024-04-16T11:48:47.094577925+00:00,1
2024-04-16T11:48:47.094648850+00:00,0
2024-04-16T11:48:47.198654000+00:00,1
2024-04-16T11:48:47.198724775+00:00,0
2024-04-16T11:48:47.312091525+00:00,1
2024-04-16T11:48:47.312162250+00:00,0
2024-04-16T11:48:47.403024575+00:00,1
2024-04-16T11:48:47.403095200+00:00,0
2024-04-16T11:48:47.464038800+00:00,1
2024-04-16T11:48:47.464042175+00:00,0
2024-04-16T11:48:47.505493900+00:00,1
2024-04-16T11:48:47.505564725+00:00,0
2024-04-16T11:48:47.607458900+00:00,1
2024-04-16T11:48:47.607529725+00:00,0
2024-04-16T11:48:47.668105375+00:00,1
2024-04-16T11:48:47.668108750+00:00,0
2024-04-16T11:48:47.709818025+00:00,1
